match_id,year,innings,batting_team,is_playoff,total_runs,legal_balls,fours,sixes,boundaries,dots,wickets,wides,noballs,run_rate,boundary_pct,dot_pct,six_four_ratio,six_pct,era
1082591,2017,1,Sunrisers Hyderabad,0,207,120,17,9,26,27,4,4,1,10.35,0.21666666666666667,0.225,0.5294117647058824,0.34615384615384615,2013-2017
1082591,2017,2,Royal Challengers Bangalore,0,172,118,15,8,23,45,10,4,1,8.745762711864407,0.19491525423728814,0.3813559322033898,0.5333333333333333,0.34782608695652173,2013-2017
1082592,2017,1,Mumbai Indians,0,184,120,12,11,23,43,8,5,0,9.2,0.19166666666666668,0.35833333333333334,0.9166666666666666,0.4782608695652174,2013-2017
1082592,2017,2,Rising Pune Supergiant,0,187,119,18,6,24,30,3,3,0,9.428571428571429,0.20168067226890757,0.25210084033613445,0.3333333333333333,0.25,2013-2017
1082593,2017,1,Gujarat Lions,0,183,120,20,6,26,37,4,2,0,9.15,0.21666666666666667,0.30833333333333335,0.3,0.23076923076923078,2013-2017
1082593,2017,2,Kolkata Knight Riders,0,184,89,18,8,26,22,0,7,0,12.404494382022472,0.29213483146067415,0.24719101123595505,0.4444444444444444,0.3076923076923077,2013-2017
1082594,2017,1,Rising Pune Supergiant,0,163,120,11,7,18,33,6,5,0,8.15,0.15,0.275,0.6363636363636364,0.3888888888888889,2013-2017
1082594,2017,2,Kings XI Punjab,0,164,114,11,9,20,41,4,8,0,8.631578947368421,0.17543859649122806,0.35964912280701755,0.8181818181818182,0.45,2013-2017
1082595,2017,1,Royal Challengers Bangalore,0,157,120,14,7,21,52,8,4,0,7.85,0.175,0.43333333333333335,0.5,0.3333333333333333,2013-2017
1082595,2017,2,Delhi Daredevils,0,142,120,10,5,15,48,9,4,0,7.1,0.125,0.4,0.5,0.3333333333333333,2013-2017
1082596,2017,1,Gujarat Lions,0,135,120,11,2,13,39,7,0,0,6.75,0.10833333333333334,0.325,0.18181818181818182,0.15384615384615385,2013-2017
1082596,2017,2,Sunrisers Hyderabad,0,140,93,12,5,17,27,1,3,0,9.03225806451613,0.1827956989247312,0.2903225806451613,0.4166666666666667,0.29411764705882354,2013-2017
1082597,2017,1,Kolkata Knight Riders,0,178,120,14,6,20,36,7,5,3,8.9,0.16666666666666666,0.3,0.42857142857142855,0.3,2013-2017
1082597,2017,2,Mumbai Indians,0,180,119,15,9,24,51,6,7,0,9.07563025210084,0.20168067226890757,0.42857142857142855,0.6,0.375,2013-2017
1082598,2017,1,Royal Challengers Bangalore,0,148,120,6,11,17,54,4,3,0,7.4,0.14166666666666666,0.45,1.8333333333333333,0.6470588235294118,2013-2017
