batter,runs,balls,fours,sixes,matches,innings,sr,runs_per_inn,boundary_pct
V Kohli,8721,6543,778,296,260,3,133.28748280605228,2907.0,16.414488766620817
RG Sharma,7081,5354,642,306,267,3,132.25625700410907,2360.3333333333335,17.706387747478523
S Dhawan,6736,5304,763,152,221,3,126.99849170437405,2245.3333333333335,17.251131221719458
DA Warner,6537,4680,661,233,184,4,139.67948717948718,1634.25,19.102564102564102
SK Raina,5513,4025,504,203,200,3,136.9689440993789,1837.6666666666667,17.565217391304348
MS Dhoni,5409,3935,375,261,241,2,137.4587039390089,2704.5,16.16264294790343
KL Rahul,5226,3837,453,207,136,4,136.20015637216576,1306.5,17.200938232994528
AB de Villiers,5148,3400,412,250,170,4,151.41176470588235,1287.0,19.470588235294116
AM Rahane,5105,4071,518,128,185,2,125.39916482436749,2552.5,15.868337017931713
CH Gayle,4956,3331,407,354,141,5,148.78414890423298,991.2,22.845992194536173
RV Uthappa,4942,3784,480,182,197,3,130.60253699788584,1647.3333333333333,17.494714587737846
KD Karthik,4824,3570,462,161,233,3,135.12605042016807,1608.0,17.45098039215686
F du Plessis,4763,3506,439,174,147,2,135.8528237307473,2381.5,17.4843126069595
SV Samson,4702,3375,380,219,172,2,139.31851851851852,2351.0,17.74814814814815
AT Rayudu,4325,3391,358,171,185,2,127.5434974933648,2162.5,15.600117959304042
SA Yadav,4308,2897,455,167,152,3,148.70555747324818,1436.0,21.47048671039006
G Gambhir,4197,3394,490,58,151,2,123.65939893930467,2098.5,16.14614024749558
JC Buttler,4135,2782,409,185,120,3,148.63407620416967,1378.3333333333333,21.35154565061107
MK Pandey,3932,3239,338,115,160,3,121.39549243593702,1310.6666666666667,13.98579808582896
Shubman Gill,3893,2801,376,119,115,2,138.98607640128526,1946.5,17.67225990717601
SR Watson,3864,2801,374,190,141,3,137.95073188147092,1288.0,20.13566583363085
SS Iyer,3744,2803,314,154,132,3,133.57117374241884,1248.0,16.696396717802354
RR Pant,3557,2416,321,169,124,4,147.22682119205297,889.25,20.281456953642383
KA Pollard,3411,2315,220,221,168,5,147.34341252699784,682.2,19.04967602591793
Q de Kock,3304,2465,325,133,115,3,134.03651115618663,1101.3333333333333,18.580121703853955
RA Jadeja,3243,2489,240,116,194,2,130.29329047810364,1621.5,14.302932904781038
YK Pathan,3210,2233,263,161,153,3,143.75279892521272,1070.0,18.987908643081056
Ishan Kishan,3083,2216,298,139,114,2,139.1245487364621,1541.5,19.720216606498195
DA Miller,3062,2212,218,137,133,3,138.4267631103074,1020.6666666666666,16.04882459312839
WP Saha,2929,2296,295,87,143,2,127.56968641114983,1464.5,16.637630662020904
BB McCullum,2857,2176,290,128,109,4,131.29595588235296,714.25,19.209558823529413
N Rana,2853,2096,261,141,113,2,136.11641221374046,1426.5,19.1793893129771
PA Patel,2841,2350,364,49,136,2,120.89361702127658,1420.5,17.574468085106382
GJ Maxwell,2812,1810,236,161,134,3,155.35911602209944,937.3333333333334,21.933701657458563
HH Pandya,2763,1877,209,150,141,5,147.20298348428344,552.6,19.126265316995205
MA Agarwal,2746,2053,272,100,125,3,133.7554797856795,915.3333333333334,18.119824646858255
Yuvraj Singh,2742,2115,216,149,126,3,129.645390070922,914.0,17.257683215130022
V Sehwag,2713,1740,333,105,104,2,155.91954022988506,1356.5,25.17241379310345
AD Russell,2632,1508,184,222,114,3,174.53580901856765,877.3333333333334,26.923076923076923
M Vijay,2619,2147,247,91,105,2,121.98416394969725,1309.5,15.74289706567303
RD Gaikwad,2500,1822,231,95,71,2,137.211855104281,1250.0,17.892425905598245
SE Marsh,2473,1866,267,77,69,3,132.529474812433,824.3333333333334,18.435155412647376
SPD Smith,2461,1931,222,58,93,3,127.44691869497669,820.3333333333334,14.500258933195237
JH Kallis,2419,2213,254,44,95,2,109.30863081789425,1209.5,13.465883416177135
DR Smith,2379,1755,244,117,88,2,135.55555555555557,1189.5,20.56980056980057
SR Tendulkar,2331,1941,296,29,78,2,120.09273570324575,1165.5,16.743946419371458
N Pooran,2296,1363,158,167,87,3,168.45194424064562,765.3333333333334,23.84446074834923
RA Tripathi,2268,1655,225,84,98,2,137.0392749244713,1134.0,18.670694864048336
YBK Jaiswal,2192,1448,261,92,67,2,151.38121546961324,1096.0,24.378453038674035
R Dravid,2173,1878,269,28,82,2,115.70820021299255,1086.5,15.814696485623003
KS Williamson,2128,1692,187,64,76,3,125.76832151300236,709.3333333333334,14.83451536643026
AJ Finch,2083,1626,214,77,90,3,128.1057810578106,694.3333333333334,17.89667896678967
AC Gilchrist,2046,1483,234,92,80,2,137.96358732299393,1023.0,21.98246797033041
JP Duminy,2026,1631,126,79,75,2,124.21827099938687,1013.0,12.568976088289393
MP Stoinis,2016,1394,156,106,100,2,144.61979913916787,1008.0,18.794835007173603
MEK Hussey,1976,1610,198,52,58,2,122.73291925465838,988.0,15.527950310559005
AR Patel,1906,1426,130,93,124,2,133.66058906030855,953.0,15.638148667601683
PP Shaw,1890,1279,238,61,79,2,147.77169663799842,945.0,23.377638780297108
D Padikkal,1863,1451,199,60,75,2,128.39421088904203,931.5,17.849758787043417
Abhishek Sharma,1863,1137,178,105,76,2,163.85224274406332,931.5,24.890061565523308
S Dube,1850,1294,108,121,76,2,142.967542503864,925.0,17.697063369397217
DPMD Jayawardene,1806,1462,200,40,78,3,123.52941176470588,602.0,16.415868673050614
SP Narine,1790,1071,189,118,119,2,167.13352007469655,895.0,28.664799253034545
B Sai Sudharsan,1790,1231,184,52,41,2,145.41023558082858,895.0,19.17140536149472
KH Pandya,1748,1323,151,65,114,2,132.1239606953893,874.0,16.3265306122449
Mandeep Singh,1705,1385,176,38,97,2,123.10469314079423,852.5,15.451263537906138
KK Nair,1689,1283,184,49,76,2,131.64458300857365,844.5,18.160561184723303
MK Tiwary,1685,1444,154,40,83,2,116.68975069252076,842.5,13.434903047091412
KC Sangakkara,1680,1385,195,26,68,2,121.29963898916967,840.0,15.95667870036101
JM Bairstow,1672,1142,173,74,52,2,146.40980735551662,836.0,21.62872154115587
R Parag,1579,1112,112,88,73,3,141.99640287769785,526.3333333333334,17.985611510791365
H Klaasen,1554,920,104,91,47,2,168.91304347826087,777.0,21.195652173913043
DJ Bravo,1546,1196,119,65,110,2,129.26421404682273,773.0,15.384615384615385
NV Ojha,1543,1308,120,78,94,2,117.9663608562691,771.5,15.137614678899084
Tilak Varma,1510,1046,117,73,52,2,144.35946462715106,755.0,18.164435946462714
SS Tiwary,1489,1235,111,50,73,2,120.5668016194332,744.5,13.036437246963562
SO Hetmyer,1486,975,94,93,78,3,152.4102564102564,495.3333333333333,19.17948717948718
DJ Hooda,1480,1167,96,61,101,3,126.82090831191088,493.3333333333333,13.453299057412169
VR Iyer,1462,1068,136,64,56,2,136.89138576779024,731.0,18.726591760299627
