bowler,balls,runs,wickets,dots,matches,economy,sr,dot_pct,avg
YS Chahal,3815,4992,227,1328,173,7.851114023591087,16.80616740088106,34.809960681520316,21.991189427312776
B Kumar,4246,5367,214,1861,191,7.584079133301931,19.8411214953271,43.82948657560056,25.07943925233645
SP Narine,4393,5000,213,1732,189,6.829046209879353,20.624413145539908,39.426360118370134,23.474178403755868
DJ Bravo,3120,4236,206,1054,158,8.146153846153847,15.145631067961165,33.782051282051285,20.563106796116504
JJ Bumrah,3383,4020,203,1432,146,7.129766479456104,16.665024630541872,42.32929352645581,19.80295566502463
R Ashwin,4710,5521,201,1663,217,7.033121019108281,23.432835820895523,35.30785562632696,27.46766169154229
PP Chawla,3850,5097,198,1358,191,7.943376623376624,19.444444444444443,35.27272727272727,25.742424242424242
SL Malinga,2827,3291,186,1217,122,6.984789529536611,15.198924731182796,43.04916873010258,17.693548387096776
A Mishra,3371,4091,182,1220,162,7.281518837140315,18.521978021978022,36.19104123405518,22.478021978021978
RA Jadeja,4074,5158,180,1349,226,7.596465390279823,22.633333333333333,33.112420225822284,28.655555555555555
HV Patel,2440,3467,168,844,117,8.525409836065574,14.523809523809524,34.59016393442623,20.636904761904763
Rashid Khan,3226,3841,167,1216,137,7.143831370117793,19.317365269461078,37.693738375697464,23.0
Sandeep Sharma,3061,4013,164,1214,137,7.866056844168572,18.664634146341463,39.66024175106174,24.46951219512195
UT Yadav,3056,4259,163,1261,147,8.361910994764397,18.74846625766871,41.26308900523561,26.12883435582822
Harbhajan Singh,3416,3996,157,1312,160,7.018735362997658,21.75796178343949,38.40749414519906,25.452229299363058
Mohammed Shami,2638,3710,151,1108,120,8.438210765731615,17.47019867549669,42.00151630022744,24.56953642384106
TA Boult,2711,3713,151,1154,120,8.217631870158613,17.95364238410596,42.56731833271856,24.589403973509935
MM Sharma,2403,3448,149,836,119,8.60923845193508,16.12751677852349,34.78984602580108,23.140939597315437
AR Patel,3339,4099,138,1143,161,7.365678346810422,24.195652173913043,34.23180592991914,29.702898550724637
AD Russell,1806,2802,133,645,121,9.308970099667775,13.578947368421053,35.714285714285715,21.06766917293233
K Rabada,1929,2735,129,787,85,8.506998444790046,14.953488372093023,40.7983411093831,21.2015503875969
R Vinay Kumar,2127,2953,126,801,104,8.330042313117067,16.88095238095238,37.65867418899859,23.436507936507937
JD Unadkat,2310,3377,125,774,113,8.77142857142857,18.48,33.506493506493506,27.016
A Nehra,1908,2447,120,828,88,7.69496855345912,15.9,43.39622641509434,20.391666666666666
Z Khan,2200,2769,119,929,99,7.551818181818181,18.48739495798319,42.22727272727273,23.26890756302521
SN Thakur,2094,3155,118,737,103,9.040114613180515,17.74576271186441,35.19579751671442,26.73728813559322
Mohammed Siraj,2312,3247,112,1010,109,8.426470588235293,20.642857142857142,43.68512110726643,28.991071428571427
CH Morris,1726,2278,107,708,81,7.918887601390498,16.130841121495326,41.01969872537659,21.289719626168225
Kuldeep Yadav,2088,2780,107,655,97,7.988505747126436,19.514018691588785,31.36973180076628,25.981308411214954
SR Watson,2029,2622,106,850,105,7.753573188762937,19.141509433962263,41.892557910300646,24.735849056603772
Arshdeep Singh,1738,2531,106,648,82,8.737629459148447,16.39622641509434,37.284234752589185,23.87735849056604
DW Steyn,2182,2453,105,1064,95,6.745187901008249,20.78095238095238,48.762603116406964,23.36190476190476
P Kumar,2524,3197,102,1147,119,7.5998415213946116,24.745098039215687,45.443740095087165,31.34313725490196
CV Varun,1924,2449,101,728,85,7.637214137214137,19.04950495049505,37.83783783783784,24.247524752475247
RP Singh,1775,2297,100,790,82,7.764507042253522,17.75,44.50704225352113,22.97
I Sharma,2419,3274,100,1070,117,8.12071103761885,24.19,44.233154195948735,32.74
IK Pathan,2043,2629,99,885,101,7.720998531571219,20.636363636363637,43.31864904552129,26.555555555555557
PP Ojha,1899,2322,98,708,90,7.3364928909952605,19.377551020408163,37.2827804107425,23.693877551020407
JA Morkel,1723,2297,96,683,87,7.998839233894371,17.947916666666668,39.640162507254786,23.927083333333332
KH Pandya,2410,2951,95,790,133,7.34688796680498,25.36842105263158,32.780082987551864,31.063157894736843
KK Ahmed,1574,2295,94,688,72,8.74841168996188,16.74468085106383,43.710292249047015,24.414893617021278
Avesh Khan,1619,2408,94,591,75,8.92402717726992,17.22340425531915,36.504014823965406,25.617021276595743
DL Chahar,1915,2514,91,834,95,7.876762402088772,21.043956043956044,43.5509138381201,27.626373626373628
DS Kulkarni,1787,2393,91,765,92,8.034695019585898,19.63736263736264,42.80917739227756,26.296703296703296
M Morkel,1629,2042,88,738,70,7.521178637200736,18.511363636363637,45.30386740331492,23.204545454545453
KV Sharma,1585,2237,88,539,87,8.46813880126183,18.011363636363637,34.00630914826498,25.420454545454547
Imran Tahir,1316,1684,86,451,59,7.677811550151976,15.30232558139535,34.27051671732523,19.58139534883721
L Balaji,1512,1998,85,582,73,7.928571428571429,17.788235294117648,38.492063492063494,23.50588235294118
HH Pandya,1646,2486,84,583,108,9.061968408262453,19.595238095238095,35.41919805589308,29.595238095238095
R Bhatia,1636,2023,82,467,91,7.419315403422983,19.951219512195124,28.545232273838632,24.670731707317074
MM Patel,1355,1682,82,612,63,7.447970479704797,16.524390243902438,45.1660516605166,20.51219512195122
PJ Cummins,1617,2350,82,615,72,8.719851576994435,19.71951219512195,38.03339517625232,28.658536585365855
M Prasidh Krishna,1529,2160,82,650,67,8.476128188358405,18.646341463414632,42.51144538914323,26.341463414634145
AB Dinda,1516,1991,81,648,75,7.879947229551451,18.71604938271605,42.74406332453825,24.580246913580247
T Natarajan,1386,2013,80,457,64,8.714285714285714,17.325,32.97258297258297,25.1625
KA Pollard,1488,2095,80,422,107,8.44758064516129,18.6,28.360215053763444,26.1875
MA Starc,1064,1485,78,452,50,8.37406015037594,13.64102564102564,42.4812030075188,19.03846153846154
Ravi Bishnoi,1651,2210,78,584,77,8.031496062992126,21.166666666666668,35.3725015142338,28.333333333333332
RD Chahar,1670,2131,76,592,78,7.656287425149701,21.973684210526315,35.449101796407184,28.039473684210527
MJ McClenaghan,1274,1730,75,534,56,8.14756671899529,16.986666666666668,41.915227629513346,23.066666666666666
JP Faulkner,1238,1791,75,440,60,8.680129240710823,16.506666666666668,35.54119547657512,23.88
Mustafizur Rahman,1364,1808,74,511,60,7.9530791788856305,18.43243243243243,37.4633431085044,24.43243243243243
JH Kallis,1742,2265,74,640,89,7.801377726750862,23.54054054054054,36.739380022962116,30.60810810810811
SK Trivedi,1506,1863,73,528,75,7.422310756972111,20.63013698630137,35.0597609561753,25.52054794520548
Shakib Al Hasan,1484,1827,71,523,70,7.386792452830189,20.901408450704224,35.24258760107817,25.732394366197184
M Muralitharan,1528,1700,67,643,66,6.675392670157068,22.80597014925373,42.08115183246073,25.37313432835821
MG Johnson,1235,1655,66,557,54,8.040485829959515,18.71212121212121,45.10121457489878,25.075757575757574
SM Curran,1253,1995,63,414,63,9.553072625698324,19.88888888888889,33.04070231444533,31.666666666666668
S Kaul,1209,1736,63,410,55,8.615384615384615,19.19047619047619,33.91232423490488,27.555555555555557
A Nortje,1120,1655,63,453,49,8.866071428571429,17.77777777777778,40.44642857142857,26.26984126984127
JC Archer,1242,1585,63,569,53,7.657004830917874,19.714285714285715,45.81320450885668,25.158730158730158
LH Ferguson,1026,1480,62,402,49,8.654970760233917,16.548387096774192,39.1812865497076,23.870967741935484
SK Warne,1194,1426,59,442,54,7.165829145728644,20.23728813559322,37.018425460636514,24.16949152542373
JO Holder,995,1421,59,340,46,8.568844221105527,16.864406779661017,34.17085427135678,24.084745762711865
JR Hazlewood,867,1192,58,390,39,8.249134948096884,14.948275862068966,44.982698961937714,20.551724137931036
TG Southee,1206,1711,57,475,54,8.512437810945274,21.157894736842106,39.38640132669983,30.017543859649123
