era,player,runs,balls_faced,innings,matches,strike_rate,avg_per_innings,boundary_pct,dot_pct,six_of_boundaries_pct,impact_score
2008-2012,V Sehwag,1865,1113,2,66,167.56513926325246,932.5,27.133872416891286,34.052111410601974,25.82781456953642,0.653785399340823
2008-2012,G Gambhir,2056,1596,2,71,128.82205513784461,1028.0,16.979949874686717,34.962406015037594,11.808118081180812,0.6047187347211223
2008-2012,SK Raina,2250,1611,3,78,139.66480446927375,750.0,17.752948479205465,33.33333333333333,33.91608391608392,0.5935416966709143
2008-2012,RG Sharma,1960,1521,2,73,128.86259040105193,980.0,16.173570019723865,36.357659434582516,33.33333333333333,0.5815079676495994
2008-2012,SR Tendulkar,2044,1710,2,64,119.53216374269007,1022.0,16.432748538011698,39.41520467836258,8.540925266903916,0.578918896215489
2008-2012,AC Gilchrist,1752,1254,2,67,139.71291866028707,876.0,22.248803827751196,45.53429027113238,30.824372759856633,0.5577318157790817
2008-2012,MS Dhoni,1779,1301,2,68,136.74096848578017,889.5,15.449654112221367,30.13066871637202,31.8407960199005,0.5569664144308524
2008-2012,CH Gayle,1796,1113,3,42,161.36567834681043,598.6666666666666,24.887690925426774,39.35309973045822,45.48736462093863,0.5539130015401066
2008-2012,JH Kallis,1957,1763,2,73,111.00397050482134,978.5,13.783323879750425,40.38570618264322,15.22633744855967,0.5367841032958895
2008-2012,SE Marsh,1597,1177,2,41,135.68394222599832,798.5,18.861512319456246,36.78844519966015,26.576576576576578,0.5101693247688841
2008-2012,R Dravid,1702,1454,2,65,117.05639614855572,851.0,15.680880330123797,39.95873452544704,10.087719298245613,0.48977563643574984
2008-2012,V Kohli,1638,1371,2,69,119.47483588621444,819.0,14.87964989059081,38.439095550692926,24.509803921568626,0.4801931389535675
2008-2012,KC Sangakkara,1560,1249,2,59,124.89991993594876,780.0,16.653322658126502,36.34907926341073,12.5,0.4746181606253116
2008-2012,RV Uthappa,1532,1209,2,70,126.71629445822994,766.0,16.2944582299421,39.784946236559136,29.949238578680205,0.47229393721060686
2008-2012,YK Pathan,1497,992,3,69,150.90725806451613,499.0,20.866935483870968,36.08870967741936,40.09661835748793,0.4668403368735887
2008-2012,S Dhawan,1535,1256,2,57,122.21337579617835,767.5,16.003184713375795,38.296178343949045,17.91044776119403,0.46192927841104936
