era,player,wickets,balls_bowled,matches,economy,bowling_sr,bowling_avg,dot_pct,impact_score
2008-2012,SL Malinga,92,1302,56,6.179723502304148,14.152173913043478,14.576086956521738,47.38863287250384,0.8666124257770446
2008-2012,A Mishra,77,1292,59,7.026315789473684,16.77922077922078,19.649350649350648,39.55108359133127,0.771759708920451
2008-2012,RP Singh,83,1464,67,7.647540983606557,17.63855421686747,22.481927710843372,45.69672131147541,0.7667817535391324
2008-2012,MM Patel,78,1223,57,7.295175797219951,15.679487179487179,19.064102564102566,46.443172526574,0.7659448028367958
2008-2012,PP Ojha,75,1297,62,7.147262914417888,17.293333333333333,20.6,37.77949113338474,0.7585256389076659
2008-2012,DW Steyn,65,1189,52,6.2674516400336415,18.29230769230769,19.107692307692307,50.71488645920942,0.7566177950065066
2008-2012,IK Pathan,80,1533,72,7.6399217221135025,19.1625,24.4,44.09654272667971,0.7536546757418251
2008-2012,PP Chawla,78,1434,71,7.564853556485355,18.384615384615383,23.17948717948718,38.14504881450488,0.7505661902458443
2008-2012,Z Khan,76,1382,61,7.719247467438494,18.18421052631579,23.394736842105264,42.11287988422576,0.7370325592074937
2008-2012,JA Morkel,78,1381,68,8.020275162925417,17.705128205128204,23.666666666666668,39.39174511223751,0.7326307074316484
2008-2012,M Muralitharan,60,1294,55,6.440494590417311,21.566666666666666,23.15,42.81298299845441,0.7258755192693762
2008-2012,R Ashwin,55,1085,47,6.226728110599079,19.727272727272727,20.472727272727273,42.02764976958525,0.719080381358562
2008-2012,R Vinay Kumar,73,1212,60,8.118811881188119,16.602739726027398,22.465753424657535,38.943894389438945,0.7116944479528676
2008-2012,Harbhajan Singh,57,1287,61,6.759906759906759,22.57894736842105,25.43859649122807,38.07303807303807,0.6999055833938418
2008-2012,SK Warne,59,1194,54,7.165829145728644,20.23728813559322,24.16949152542373,37.018425460636514,0.6939850607834648
2008-2012,SK Trivedi,61,1147,58,7.574542284219703,18.80327868852459,23.737704918032787,34.263295553618136,0.6865584812490672
2008-2012,A Kumble,49,965,42,6.528497409326425,19.693877551020407,21.428571428571427,41.13989637305699,0.6843355723970979
2008-2012,P Kumar,62,1490,67,7.586577181208053,24.032258064516128,30.387096774193548,45.83892617449665,0.6817542201744832
2008-2012,L Balaji,60,1008,51,7.851190476190476,16.8,21.983333333333334,37.89682539682539,0.6743951506133603
2008-2012,A Nehra,54,947,44,7.41921858500528,17.537037037037038,21.685185185185187,43.822597676874345,0.6690432205227493
2008-2012,SP Narine,29,355,15,5.509859154929577,12.241379310344827,11.241379310344827,47.6056338028169,0.6641158781622517
2008-2012,R Bhatia,50,869,49,7.367088607594937,17.38,21.34,31.070195627157656,0.6566409401332344
2008-2012,DJ Bravo,56,993,54,7.909365558912386,17.732142857142858,23.375,37.96576032225579,0.6557290951452127
2008-2012,M Morkel,45,720,31,7.191666666666666,16.0,19.177777777777777,44.30555555555556,0.6475446981059114
2008-2012,AB Dinda,44,763,39,7.0537352555701185,17.34090909090909,20.386363636363637,47.575360419397114,0.647534962811217
2008-2012,DE Bollinger,43,576,27,7.125,13.395348837209303,15.906976744186046,46.875,0.646903259287618
2008-2012,KA Pollard,48,740,42,7.613513513513514,15.416666666666666,19.5625,30.54054054054054,0.6419720458342412
2008-2012,SR Watson,41,811,38,6.998766954377311,19.78048780487805,23.073170731707318,46.7324290998767,0.6349787624697327
2008-2012,RJ Harris,46,760,34,7.594736842105263,16.52173913043478,20.91304347826087,45.78947368421053,0.6336549344374107
2008-2012,SB Jakati,48,913,48,7.754654983570646,19.020833333333332,24.583333333333332,34.392113910186204,0.6305725218877171
2008-2012,JH Kallis,51,1292,66,7.829721362229102,25.333333333333332,33.05882352941177,36.53250773993808,0.6288902909410976
2008-2012,Sohail Tanvir,24,247,11,6.194331983805668,10.291666666666666,10.625,52.63157894736842,0.6200630202314803
2008-2012,YK Pathan,39,949,61,7.100105374077977,24.333333333333332,28.794871794871796,38.35616438356164,0.6163776930672905
2008-2012,DP Nannes,33,527,24,6.944971537001898,15.969696969696969,18.484848484848484,47.81783681214421,0.6134256168027743
2008-2012,DL Vettori,34,777,34,6.841698841698842,22.852941176470587,26.058823529411764,36.42213642213642,0.6108928608529993
2008-2012,MF Maharoof,33,420,20,7.199999999999999,12.727272727272727,15.272727272727273,42.142857142857146,0.6077641672971281
2008-2012,R Sharma,32,646,31,6.938080495356037,20.1875,23.34375,38.54489164086687,0.6035508224995363
2008-2012,Iqbal Abdulla,25,501,27,6.407185628742515,20.04,21.4,42.315369261477045,0.5999713651225772
2008-2012,Shakib Al Hasan,23,333,15,6.63063063063063,14.478260869565217,16.0,39.93993993993994,0.5917697752556793
2008-2012,I Sharma,36,925,43,7.401081081081081,25.694444444444443,31.694444444444443,48.54054054054054,0.5906418208425572
2008-2012,S Sreesanth,37,750,37,7.696,20.27027027027027,26.0,46.0,0.5903626254458643
2008-2012,UT Yadav,33,618,30,7.485436893203882,18.727272727272727,23.363636363636363,40.45307443365696,0.5866838810097599
2008-2012,DS Kulkarni,31,525,27,7.531428571428572,16.93548387096774,21.258064516129032,43.047619047619044,0.5801037056559125
2008-2012,PJ Sangwan,35,634,29,7.958990536277602,18.114285714285714,24.02857142857143,39.11671924290221,0.57529848032499
2008-2012,SW Tait,25,413,18,7.13317191283293,16.52,19.64,47.699757869249396,0.5751116916335138
2008-2012,RA Jadeja,27,615,40,7.141463414634146,22.77777777777778,27.11111111111111,34.796747967479675,0.5725918331127714
2008-2012,Yuvraj Singh,24,486,38,7.037037037037038,20.25,23.75,35.390946502057616,0.5697023048589085
2008-2012,WD Parnell,17,302,14,6.536423841059602,17.764705882352942,19.352941176470587,44.03973509933775,0.5684406957398331
2008-2012,A Singh,31,473,23,7.87737843551797,15.258064516129032,20.032258064516128,42.28329809725159,0.5682575596274253
2008-2012,RE van der Merwe,21,377,18,6.891246684350133,17.952380952380953,20.61904761904762,35.54376657824933,0.5681838610302044
2008-2012,M Kartik,26,867,42,6.885813148788927,33.34615384615385,38.26923076923077,37.0242214532872,0.5633581335130089
2008-2012,SK Raina,24,578,43,7.069204152249135,24.083333333333332,28.375,34.42906574394463,0.5624924835218515
2008-2012,J Botha,21,534,24,6.820224719101123,25.428571428571427,28.904761904761905,39.13857677902622,0.5596957132514945
2008-2012,AD Mascarenhas,19,284,12,7.119718309859156,14.947368421052632,17.736842105263158,43.309859154929576,0.5558580188534961
2008-2012,WPUJC Vaas,22,282,13,7.48936170212766,12.818181818181818,16.0,47.5177304964539,0.5548274907512853
2008-2012,BW Hilfenhaus,14,204,9,6.735294117647059,14.571428571428571,16.357142857142858,53.431372549019606,0.5539328067384008
2008-2012,CRD Fernando,19,234,10,7.282051282051281,12.31578947368421,14.947368421052632,45.72649572649573,0.5531235671205457
2008-2012,B Lee,26,803,35,7.277708592777086,30.884615384615383,37.46153846153846,45.20547945205479,0.5507982161304366
2008-2012,SM Pollock,13,276,13,6.586956521739131,21.23076923076923,23.307692307692307,47.82608695652174,0.5462131842964504
2008-2012,GD McGrath,14,324,14,6.666666666666667,23.142857142857142,25.714285714285715,50.0,0.5436678804261165
2008-2012,T Thushara,10,135,6,6.666666666666667,13.5,15.0,44.44444444444444,0.5436180194770817
2008-2012,Harmeet Singh,24,457,24,7.746170678336981,19.041666666666668,24.583333333333332,37.63676148796499,0.5420052461259934
2008-2012,A Chandila,5,84,4,6.214285714285715,16.8,17.4,47.61904761904761,0.5388958119827881
2008-2012,MS Gony,32,708,35,8.432203389830509,22.125,31.09375,42.090395480225986,0.5383290398771368
2008-2012,AG Murtaza,9,204,9,6.4411764705882355,22.666666666666668,24.333333333333332,42.64705882352941,0.5352739202674814
2008-2012,A Symonds,23,527,30,7.696394686907021,22.91304347826087,29.391304347826086,39.08918406072106,0.534447765766652
2008-2012,AB Agarkar,33,722,38,8.634349030470913,21.87878787878788,31.484848484848484,35.3185595567867,0.5339870037295849
2008-2012,FH Edwards,6,140,6,6.257142857142858,23.333333333333332,24.333333333333332,53.57142857142857,0.5308100894485301
2008-2012,CK Langeveldt,13,156,7,7.307692307692307,12.0,14.615384615384615,48.07692307692308,0.5303164994831903
2008-2012,SM Harwood,3,60,3,6.200000000000001,20.0,20.666666666666668,56.666666666666664,0.5271838653877958
2008-2012,BJ Hodge,18,228,19,7.842105263157896,12.666666666666666,16.555555555555557,33.33333333333333,0.5255470245925342
2008-2012,Azhar Mahmood,14,256,11,7.359375,18.285714285714285,22.428571428571427,37.890625,0.5222421951544689
2008-2012,Umar Gul,14,135,6,7.688888888888888,9.642857142857142,12.357142857142858,43.7037037037037,0.5217462232504945
2008-2012,P Awana,18,282,12,7.829787234042554,15.666666666666666,20.444444444444443,42.198581560283685,0.5214667346029679
2008-2012,B Kumar,12,300,15,6.98,25.0,29.083333333333332,41.0,0.520361296720282
2008-2012,GB Hogg,10,216,9,6.944444444444445,21.6,25.0,36.11111111111111,0.5196413841572454
2008-2012,DT Christian,20,436,21,7.871559633027522,21.8,28.6,39.22018348623853,0.517742385594067
2008-2012,PD Collingwood,5,89,6,6.741573033707866,17.8,20.0,26.96629213483146,0.5153943266085993
2008-2012,AC Thomas,16,315,15,7.657142857142857,19.6875,25.125,42.22222222222222,0.5150962217037158
2008-2012,S Aravind,22,294,14,8.428571428571427,13.363636363636363,18.772727272727273,42.857142857142854,0.5148585628445488
2008-2012,KMDN Kulasekara,6,102,5,6.88235294117647,17.0,19.5,46.07843137254902,0.5144571451558136
2008-2012,P Negi,7,132,6,6.90909090909091,18.857142857142858,21.714285714285715,37.878787878787875,0.5142031461186864
2008-2012,VY Mahesh,22,339,17,8.4070796460177,15.409090909090908,21.59090909090909,37.46312684365782,0.5126220938732869
2008-2012,SE Bond,9,186,8,7.064516129032258,20.666666666666668,24.333333333333332,40.86021505376344,0.5123637953038356
2008-2012,ST Jayasuriya,16,294,21,7.775510204081632,18.375,23.8125,29.25170068027211,0.5121739231913442
2008-2012,KP Pietersen,9,174,13,7.172413793103448,19.333333333333332,23.11111111111111,32.758620689655174,0.5099096331692463
2008-2012,RR Powar,14,426,26,7.211267605633803,30.428571428571427,36.57142857142857,40.845070422535215,0.5098204317178125
2008-2012,MJ Clarke,3,66,5,6.545454545454545,22.0,24.0,36.36363636363637,0.509727565193807
2008-2012,J Theron,12,197,9,7.6751269035533,16.416666666666668,21.0,35.53299492385787,0.5045403075165753
