phase,batter,runs,balls,sixes,fours,sr,bpct
Death,MS Dhoni,3442,1965,205,252,175.16539440203562,23.25699745547074
Death,KA Pollard,2006,1180,141,128,170.0,22.796610169491522
Death,KD Karthik,1891,1091,99,168,173.32722273143906,24.47296058661778
Death,AB de Villiers,1837,829,137,133,221.59227985524728,32.56936067551266
Death,RA Jadeja,1802,1195,81,131,150.7949790794979,17.74058577405858
Death,V Kohli,1520,807,90,114,188.35192069392812,25.27881040892193
Death,RG Sharma,1511,837,92,125,180.52568697729987,25.925925925925924
Death,HH Pandya,1436,838,95,101,171.36038186157518,23.389021479713605
Death,AD Russell,1417,724,127,97,195.71823204419888,30.939226519337016
Death,DA Miller,1372,800,83,91,171.5,21.75
Death,AT Rayudu,1170,692,65,89,169.07514450867052,22.254335260115607
Death,YK Pathan,1121,696,56,93,161.0632183908046,21.408045977011493
Death,RR Pant,989,492,73,80,201.01626016260164,31.097560975609756
Death,AR Patel,957,623,53,57,153.6115569823435,17.656500802568218
Death,SO Hetmyer,933,534,64,59,174.7191011235955,23.03370786516854
Death,DJ Bravo,896,516,49,62,173.64341085271317,21.511627906976745
Death,Yuvraj Singh,894,494,68,60,180.97165991902835,25.910931174089068
Death,SK Raina,888,521,42,68,170.44145873320537,21.113243761996163
Death,JP Duminy,880,516,48,56,170.54263565891472,20.155038759689923
Death,MP Stoinis,851,480,51,66,177.29166666666666,24.375
Death,KL Rahul,838,472,42,68,177.54237288135593,23.30508474576271
Death,N Pooran,833,476,58,58,175.0,24.369747899159663
Death,SA Yadav,809,451,45,82,179.3791574279379,28.159645232815965
Death,R Tewatia,802,480,48,67,167.08333333333334,23.958333333333336
Death,SV Samson,780,407,53,56,191.64619164619165,26.78132678132678
Death,JC Buttler,720,371,48,53,194.0700808625337,27.22371967654987
Death,MK Pandey,703,466,31,47,150.85836909871244,16.738197424892704
Death,KH Pandya,702,447,31,63,157.04697986577182,21.02908277404922
Death,SPD Smith,679,426,27,60,159.38967136150234,20.422535211267608
Death,SS Iyer,668,370,42,49,180.54054054054055,24.594594594594597
Death,TH David,665,350,50,43,190.0,26.571428571428573
Death,IK Pathan,662,441,26,60,150.11337868480726,19.501133786848072
Death,S Dhawan,662,418,21,69,158.37320574162678,21.5311004784689
Death,JA Morkel,629,404,38,38,155.6930693069307,18.81188118811881
Death,DA Warner,628,352,31,55,178.4090909090909,24.431818181818183
Death,S Dube,621,372,47,35,166.93548387096774,22.043010752688172
Death,RK Singh,620,333,38,56,186.18618618618618,28.22822822822823
Death,Harbhajan Singh,616,409,35,55,150.61124694376528,22.00488997555012
Death,BJ Hodge,605,368,24,52,164.40217391304347,20.652173913043477
Death,GJ Maxwell,603,338,37,50,178.4023668639053,25.7396449704142
Death,MK Tiwary,592,409,17,55,144.74327628361857,17.6039119804401
Death,H Klaasen,574,291,37,42,197.25085910652922,27.147766323024054
Death,F du Plessis,567,314,28,49,180.5732484076433,24.522292993630572
Death,RV Uthappa,565,323,35,40,174.92260061919504,23.219814241486066
Death,CH Gayle,563,280,47,39,201.07142857142856,30.714285714285715
Death,WP Saha,557,353,24,40,157.79036827195466,18.13031161473088
Death,R Parag,556,343,37,38,162.0991253644315,21.865889212827987
Death,KM Jadhav,552,401,26,40,137.65586034912718,16.458852867830423
Death,EJG Morgan,516,314,35,31,164.33121019108282,21.019108280254777
Death,A Badoni,514,313,23,40,164.21725239616615,20.12779552715655
Death,V Shankar,510,308,30,30,165.58441558441558,19.480519480519483
Death,AM Rahane,508,321,19,45,158.25545171339564,19.937694704049843
Death,Abdul Samad,501,297,37,28,168.68686868686868,21.885521885521886
Death,Rashid Khan,494,297,36,35,166.32996632996634,23.905723905723907
Death,CH Morris,493,297,28,31,165.993265993266,19.865319865319865
Death,R Ashwin,475,355,18,37,133.80281690140845,15.492957746478872
Death,KS Williamson,457,275,13,46,166.1818181818182,21.454545454545453
Death,PP Chawla,452,371,15,43,121.83288409703503,15.633423180592992
Death,SS Tiwary,452,312,17,34,144.87179487179486,16.346153846153847
Death,DJ Hooda,451,315,23,26,143.17460317460316,15.555555555555555
Death,SM Curran,450,248,26,40,181.4516129032258,26.61290322580645
Death,SR Watson,448,242,26,37,185.12396694214877,26.033057851239672
Death,PJ Cummins,446,269,33,24,165.7992565055762,21.189591078066915
Death,T Stubbs,442,205,26,39,215.609756097561,31.70731707317073
Death,JP Faulkner,436,279,21,30,156.27240143369175,18.27956989247312
Death,Shubman Gill,436,277,19,33,157.40072202166064,18.772563176895307
Death,Shashank Singh,424,219,28,30,193.60730593607306,26.48401826484018
Death,AD Mathews,423,274,19,30,154.3795620437956,17.88321167883212
Death,JM Sharma,423,219,33,30,193.15068493150685,28.767123287671232
Death,N Rana,420,233,26,39,180.25751072961373,27.896995708154503
Death,S Badrinath,419,275,12,42,152.36363636363637,19.636363636363637
Death,Dhruv Jurel,410,229,24,31,179.03930131004367,24.017467248908297
Death,Mandeep Singh,410,274,14,32,149.63503649635038,16.78832116788321
Death,DJ Hussey,404,229,33,18,176.41921397379912,22.270742358078603
Death,NV Ojha,404,292,25,25,138.35616438356163,17.123287671232877
Death,Tilak Varma,404,222,25,32,181.981981981982,25.675675675675674
Death,STR Binny,396,262,19,26,151.14503816793894,17.17557251908397
Death,M Shahrukh Khan,395,237,26,26,166.66666666666669,21.940928270042196
Death,JH Kallis,394,228,17,39,172.80701754385964,24.561403508771928
Death,Y Venugopal Rao,382,249,17,31,153.41365461847388,19.27710843373494
Death,DPMD Jayawardene,372,234,10,40,158.97435897435898,21.367521367521366
Death,Ishan Kishan,360,189,22,32,190.47619047619045,28.57142857142857
Death,CL White,359,192,25,19,186.97916666666669,22.916666666666664
Death,MC Henriques,335,202,14,28,165.84158415841583,20.792079207920793
Death,LS Livingstone,333,151,32,18,220.5298013245033,33.11258278145696
Death,GJ Bailey,324,185,17,23,175.13513513513516,21.62162162162162
Death,Shakib Al Hasan,322,232,10,28,138.79310344827587,16.379310344827587
Death,AM Nayar,307,195,12,30,157.43589743589743,21.53846153846154
Death,LRPL Taylor,305,196,18,20,155.6122448979592,19.387755102040817
Death,DT Christian,302,220,14,17,137.27272727272728,14.09090909090909
Death,A Symonds,292,182,17,17,160.43956043956044,18.681318681318682
Death,P Kumar,292,259,14,18,112.74131274131274,12.355212355212355
Death,Washington Sundar,292,204,10,25,143.13725490196077,17.15686274509804
Death,B Kumar,286,302,3,27,94.70198675496688,9.933774834437086
Death,AJ Finch,282,178,14,22,158.42696629213484,20.224719101123593
Death,Shahbaz Ahmed,278,194,16,16,143.29896907216494,16.49484536082474
Death,MM Ali,277,156,19,22,177.56410256410254,26.282051282051285
Death,KK Nair,275,155,14,24,177.41935483870967,24.516129032258064
Death,SN Khan,273,168,7,32,162.5,23.214285714285715
Death,OA Shah,269,171,13,20,157.30994152046785,19.298245614035086
Death,G Gambhir,268,185,6,28,144.86486486486487,18.37837837837838
Death,Ashutosh Sharma,265,143,18,19,185.3146853146853,25.874125874125873
Death,NLTC Perera,265,174,18,13,152.29885057471265,17.81609195402299
Death,R Vinay Kumar,262,226,9,17,115.929203539823,11.504424778761061
Death,MEK Hussey,261,136,13,24,191.91176470588235,27.205882352941174
Death,A Mishra,259,248,5,23,104.43548387096774,11.29032258064516
Death,RD Gaikwad,259,150,14,21,172.66666666666666,23.333333333333332
Death,P Negi,256,181,11,19,141.43646408839777,16.574585635359114
Death,SE Marsh,254,162,13,17,156.79012345679013,18.51851851851852
Death,MA Agarwal,252,122,16,20,206.55737704918033,29.508196721311474
Death,Naman Dhir,252,123,15,24,204.8780487804878,31.70731707317073
Death,Gurkeerat Singh,251,162,11,25,154.93827160493828,22.22222222222222
Death,R Bhatia,251,172,11,20,145.93023255813952,18.023255813953487
Death,KV Sharma,248,181,15,13,137.01657458563537,15.469613259668508
Death,M Manhas,244,185,7,18,131.8918918918919,13.513513513513514
Death,AK Markram,236,134,14,17,176.11940298507463,23.134328358208954
Death,R Powell,234,121,20,16,193.38842975206612,29.75206611570248
Death,MK Lomror,230,142,11,20,161.9718309859155,21.830985915492956
